Date,Source,news_data
15-05-2025,Market Report,"Nifty 50 reclaimed 25,000 level after months of volatility, driven by broad-based sectoral gains and renewed optimism around economic growth and global trade developments. (Testbook)"
27-11-2025,Reuters,"Nifty 50 reached record highs supported by strong earnings recovery, easing valuations, and resilient economic growth, with domestic institutional inflows offsetting foreign investor volatility. (Reuters)"
10-11-2025,Reuters,"Global brokerage upgraded India equities outlook, citing improving earnings momentum and policy support, projecting further upside in Nifty 50 driven by domestic consumption and liquidity. (Reuters)"
31-12-2025,Economic Times,"Nifty 50 ended the year with moderate gains, reflecting slower growth compared to global peers but supported by domestic flows, policy support, and improving corporate earnings outlook. (Reuters)"
04-03-2015,RBI,"RBI cut repo rate to boost economic growth amid slowing inflation, signaling accommodative monetary policy to support investment and consumption in the Indian economy."
29-02-2016,Economic Times,"Union Budget focused on fiscal discipline, infrastructure spending, and rural development, aiming to revive economic growth while maintaining deficit targets and boosting investor confidence."
08-11-2016,Reuters,"Indian government announced demonetisation of ₹500 and ₹1000 notes, causing liquidity shock, disrupting consumption, and accelerating shift toward digital payments and formal banking systems."
07-02-2017,RBI,"RBI kept interest rates unchanged citing inflation risks, balancing growth concerns with price stability as India transitioned through post-demonetisation economic adjustments."
01-07-2017,Government of India,"India implemented Goods and Services Tax (GST), unifying indirect tax system, improving compliance, and transforming supply chains despite initial disruptions to businesses and consumption."
22-09-2017,Reuters,"Government announced bank recapitalization plan to address rising NPAs, strengthen public sector banks, and revive credit growth across the economy."
01-02-2018,Economic Times,"Union Budget emphasized rural economy, healthcare, and infrastructure, while concerns over fiscal slippage led to volatility in financial markets."
05-10-2018,RBI,"RBI maintained rates amid rising inflation and currency volatility, reflecting cautious stance during global emerging market stress and oil price fluctuations."
01-09-2019,Reuters,"India’s GDP growth slowed sharply to around 5%, reflecting weakening consumption, investment slowdown, and stress in financial sector."
20-09-2019,Reuters,"Government announced major corporate tax cuts, boosting investor sentiment and aiming to revive economic growth and private investment."
04-10-2019,RBI,"RBI cut repo rate to stimulate economic growth amid slowdown, continuing accommodative stance to support credit demand and consumption."
11-03-2020,WHO,"WHO declared COVID-19 a global pandemic, triggering economic disruptions, market crashes, and unprecedented policy responses across countries."
24-03-2020,Government of India,"India announced nationwide lockdown to control COVID-19 spread, leading to severe economic contraction and disruption in supply chains and employment. (Wikipedia)"
27-03-2020,RBI,"RBI sharply cut repo rate by 75 basis points and injected liquidity to support economy during COVID crisis, along with loan moratorium measures. (Press Information Bureau)"
13-05-2020,Government of India,"Government announced ₹20 lakh crore economic stimulus package under Atmanirbhar Bharat to support businesses, MSMEs, and vulnerable sectors affected by pandemic."
26-08-2020,Economic Times,"RBI highlighted severe economic contraction and need for reforms, as GDP sharply declined due to pandemic-induced disruptions and lockdown impact. (The Economic Times)"
31-08-2020,Government Data,"India recorded historic GDP contraction of around 24% in Q1 FY21 due to COVID-19 lockdown, reflecting severe economic impact across sectors. (Wikipedia)"
15-12-2015,Reuters,"US Federal Reserve raised interest rates for first time since financial crisis, signaling tightening cycle and impacting global capital flows to emerging markets."
23-06-2016,Reuters,"UK voted to leave European Union (Brexit), creating global economic uncertainty and volatility in financial markets and currencies."
08-11-2016,Reuters,"Donald Trump elected US President, leading to expectations of fiscal stimulus, tax cuts, and shifts in global trade policies."
22-03-2018,Reuters,"US-China trade war escalated with tariffs imposed, impacting global trade flows, supply chains, and emerging market economies."
26-12-2018,Reuters,"Global stock markets experienced sharp correction amid recession fears, tightening liquidity, and geopolitical uncertainties."
15-08-2019,Reuters,"Global bond yields declined sharply with inversion of US yield curve, signaling recession concerns in major economies."
05-03-2020,Reuters,"Oil prices crashed due to Saudi-Russia price war, leading to volatility in energy markets and impacting global economies."
15-03-2020,Federal Reserve,US Federal Reserve cut interest rates to near zero and announced quantitative easing to support economy during COVID crisis.
23-03-2020,Reuters,"Global stock markets crashed due to COVID panic, marking one of the fastest declines in financial market history."
09-04-2020,Reuters,OPEC+ agreed to historic oil production cuts to stabilize prices after demand collapse caused by pandemic.
01-06-2020,Reuters,"Global economies began gradual reopening after lockdowns, leading to early signs of recovery in economic activity."
01-09-2020,Reuters,"China reported strong economic recovery post-COVID, becoming first major economy to return to growth."
31-12-2020,Reuters,"Global economy ended year with mixed recovery, supported by stimulus measures but facing uncertainty due to pandemic waves."
01-02-2021,Economic Times,"Union Budget focused on infrastructure spending, privatization, and fiscal expansion to revive growth after COVID, signaling shift toward growth-oriented policy despite higher fiscal deficit."
05-02-2021,RBI,"RBI maintained accommodative stance with low interest rates and liquidity support to sustain post-pandemic recovery, prioritizing growth over inflation concerns."
31-03-2021,Government Data,"India recorded strong GDP rebound after COVID contraction, reflecting recovery in consumption, manufacturing, and services sectors supported by stimulus and reopening."
04-05-2022,RBI,"RBI unexpectedly raised repo rate to control rising inflation, marking beginning of tightening cycle after prolonged accommodative policy during COVID recovery phase."
08-06-2022,RBI,"RBI continued aggressive rate hikes amid rising inflation driven by global commodity prices and supply chain disruptions, tightening liquidity conditions in the economy."
01-02-2022,Economic Times,"Union Budget emphasized capital expenditure, digital economy, and infrastructure growth, aiming to sustain economic recovery while maintaining fiscal discipline."
24-02-2022,Reuters,"Russia-Ukraine war triggered global commodity price surge, particularly oil and food, increasing inflationary pressures across economies including India. Russian invasion of Ukraine (Wikipedia)"
30-06-2022,Government Data,"India’s inflation crossed RBI tolerance band due to rising fuel and food prices, forcing tighter monetary policy stance and impacting consumer demand."
01-02-2023,Economic Times,"Union Budget focused on fiscal consolidation, capital investment, and manufacturing growth, aiming to balance growth with macroeconomic stability amid global uncertainty."
06-02-2023,RBI,RBI continued tightening cycle while signaling cautious approach as inflation remained elevated but growth showed resilience in domestic economy.
11-05-2023,Government Data,"India’s inflation began moderating after peak levels, reflecting easing commodity prices and improved supply conditions, reducing pressure on monetary policy."
01-09-2023,Reuters,"India became one of the fastest-growing major economies, supported by strong domestic demand, investment activity, and stable macroeconomic environment."
01-02-2024,Economic Times,"Union Budget emphasized infrastructure, manufacturing, and fiscal consolidation, focusing on long-term growth while maintaining macroeconomic stability."
08-02-2024,RBI,"RBI held interest rates steady after tightening cycle, indicating pause in rate hikes as inflation moderated and growth remained stable."
15-07-2024,Economic Survey,"India’s economy showed strong growth momentum with rising credit demand and consumption, supported by stable inflation and improved fiscal position."
01-10-2024,Government Data,"India’s inflation remained under control with stable food and fuel prices, supporting consumption and maintaining macroeconomic stability. (FocusEconomics)"
01-02-2025,Economic Times,"Union Budget focused on fiscal consolidation and growth balance, emphasizing capital expenditure and macroeconomic stability amid global uncertainty."
15-03-2025,Government Data,"India’s inflation moderated significantly, reflecting easing food prices and stable economic conditions, supporting policy flexibility for RBI. (FocusEconomics)"
01-06-2025,Economic Survey,"India’s economy showed stable growth with improving fiscal metrics and controlled inflation, indicating macroeconomic resilience despite global uncertainties. (Deloitte)"
01-09-2025,Reuters,"Domestic demand remained strong, supporting economic growth despite global slowdown, with services and manufacturing sectors contributing to expansion."
15-06-2021,Global Reports,"Global inflation surge began post-COVID due to supply chain disruptions and stimulus-driven demand, leading to rising prices across major economies. (Wikipedia)"
16-03-2022,Federal Reserve,"US Federal Reserve started aggressive rate hike cycle to control inflation, tightening global liquidity and impacting emerging markets including India. (Wikipedia)"
10-06-2022,Reuters,"Global oil prices surged to multi-year highs due to geopolitical tensions and supply disruptions, increasing inflation and economic risks worldwide. (Reserve Bank of India)"
15-09-2022,Reuters,"Global central banks coordinated tightening cycle to control inflation, leading to slowdown in global growth and volatility in financial markets. (Wikipedia)"
01-01-2023,Reuters,"Global economy entered slowdown phase due to high interest rates, inflation, and weakening demand across major economies."
15-03-2023,Reuters,"Banking sector stress in US and Europe raised concerns about financial stability, increasing volatility in global financial markets."
01-06-2024,OECD,"Global inflation began moderating after peak levels, though remained above central bank targets, requiring cautious policy approach. (OECD)"
01-01-2025,Global Reports,"Global economy showed gradual recovery with stable growth and easing inflation, though geopolitical risks continued to pose challenges. (Deloitte)"
15-06-2025,Reuters,"Oil price volatility continued due to geopolitical tensions, impacting inflation and macroeconomic stability in oil-importing countries like India. (Union Bank of India)"
31-12-2025,Reuters,"Global economy ended year with moderate growth and easing inflation, though structural risks from geopolitics and trade tensions remained."
