Date,Company,earnings_summary,Source
27-04-2018,Reliance Industries,"Reliance Industries reported record quarterly profit driven by strong performance in petrochemicals, refining, and significant improvement in telecom and retail segments. Jio achieved profitability in its first full year of operations, supported by rapid subscriber growth and increasing data consumption. Retail business also delivered strong growth with expansion in store network and revenues. Despite high capital expenditure, the company maintained strong cash generation. Management highlighted increasing contribution from consumer-facing businesses, signaling a strategic shift away from pure energy dependence. Overall, the quarter reflected a major inflection point, with telecom and retail emerging as strong growth engines alongside traditional businesses. (The Times of India)",Business Standard / Reuters
18-01-2019,Reliance Industries,"Reliance Industries reported strong earnings with continued growth in refining and petrochemical segments, while telecom and retail businesses gained further momentum. Jio subscriber base expanded rapidly, contributing significantly to revenue growth, while retail business scaled operations across formats. Operating margins remained stable, supported by diversified business mix. The company continued to invest in digital infrastructure and retail expansion, strengthening its consumer-focused strategy. Management emphasized transformation into a technology and retail-driven conglomerate. Overall, the quarter reflected balanced growth across segments, with increasing contribution from new-age businesses reducing reliance on traditional energy operations.",Reuters
19-04-2019,Reliance Industries,"Reliance Industries delivered steady earnings growth supported by strong performance in petrochemicals and refining, while Jio and retail segments continued rapid expansion. Telecom revenues improved with higher subscriber base and increasing data usage. Retail business showed strong revenue growth driven by store expansion and consumer demand. The company maintained strong operating cash flows despite ongoing investments. Management highlighted continued focus on scaling consumer businesses and enhancing digital ecosystem. Overall, the quarter reinforced Reliance’s transformation into a diversified conglomerate with multiple growth engines beyond energy.",Business Standard
17-01-2020,Reliance Industries,"Reliance Industries reported strong quarterly earnings with significant contribution from telecom and retail segments alongside stable performance in oil-to-chemicals business. Jio continued to expand its subscriber base and improve monetization, while retail business delivered strong growth. The company maintained stable margins despite volatility in global energy markets. Management emphasized continued focus on digital ecosystem and consumer businesses as key growth drivers. Capital expenditure remained high but was supported by strong cash flows. Overall, the quarter reflected a well-diversified growth model, with Reliance successfully transitioning toward a consumer and technology-driven business structure.",Economic Times
30-04-2020,Reliance Industries,"Reliance Industries reported resilient performance during COVID-19 disruptions, supported by strong growth in telecom and retail segments, which offset weakness in oil-to-chemicals business due to lower demand and crude price volatility. Jio continued to see strong subscriber additions and data usage growth, while retail adapted through digital channels. The company raised significant capital through stake sales in Jio Platforms, strengthening its balance sheet and reducing debt. Management highlighted strategic focus on deleveraging and accelerating digital transformation. Overall, the quarter reflected resilience and strategic execution, with Reliance leveraging its diversified business model to navigate economic uncertainty while strengthening its long-term growth position. (Reliance Industries Limited)",Reuters / Company Filings
20-07-2021,Reliance Industries,"Reliance Industries reported strong quarterly performance driven by continued momentum in its digital and retail businesses. Jio Platforms recorded strong subscriber additions and rising average revenue per user, supporting steady revenue growth. Retail business showed robust expansion with strong consumer demand and store additions. The oil-to-chemicals (O2C) segment recovered gradually as global demand improved post-pandemic, though margins remained below peak levels. The company maintained strong cash flows and reduced net debt significantly following earlier capital raises. Management emphasized a balanced growth strategy across energy, digital, and retail segments, with increasing focus on building a consumer-driven ecosystem. Overall, the quarter reflected a recovery phase with diversified growth drivers, reducing reliance on traditional energy businesses and strengthening Reliance’s transformation into a multi-segment conglomerate.",Company Filings
21-01-2022,Reliance Industries,"Reliance Industries reported strong earnings supported by robust growth in Jio and retail segments, along with recovery in O2C business due to improving global energy demand. Net profit increased driven by higher refining margins and strong telecom performance. Jio continued to expand its subscriber base and improve monetization, while retail delivered strong revenue growth supported by consumption recovery. Operating margins remained stable, though cost pressures began to emerge. Management highlighted continued investments in digital platforms and new energy initiatives, including renewable energy projects. Overall, the quarter reflected strong execution across segments, with Reliance benefiting from both cyclical recovery in energy and structural growth in consumer businesses.",Economic Times
22-04-2022,Reliance Industries,"Reliance Industries reported strong annual and quarterly performance with significant contribution from all business segments. The O2C segment benefited from higher refining margins and strong global demand, driving profitability. Jio and retail businesses continued to deliver consistent growth, contributing a larger share to overall earnings. The company maintained strong cash generation and continued investments in new energy initiatives, including solar and hydrogen projects. Management emphasized long-term strategy of reducing dependence on fossil fuels and expanding into clean energy. Overall, the quarter reflected peak performance driven by favorable energy cycle and strong execution in digital and retail segments, positioning Reliance for future growth.",Company Filings
21-07-2023,Reliance Industries,"Reliance Industries reported steady earnings with moderate growth as global macroeconomic conditions softened. The O2C segment faced pressure due to lower margins and weaker demand in global markets. However, Jio and retail businesses continued to perform strongly, providing stability to overall earnings. Digital services saw improved monetization, while retail benefited from strong consumer demand and operational efficiencies. Management highlighted focus on cost control and efficiency amid uncertain global environment. Investments in new energy and digital infrastructure continued. Overall, the quarter reflected a shift where consumer and digital businesses played a larger role in sustaining earnings amid weakness in traditional energy operations.",Reuters
27-10-2023,Reliance Industries,"Reliance Industries reported stable quarterly performance with continued growth in telecom and retail segments, offsetting weakness in the O2C business. Digital services remained a key driver, supported by subscriber growth and improved pricing. Retail business expanded across formats, contributing significantly to revenue. However, energy segment margins remained under pressure due to global market conditions. Management emphasized long-term investments in renewable energy and digital platforms. The company continued to maintain strong balance sheet and cash flow generation. Overall, the quarter highlighted Reliance’s evolving business mix, with increasing reliance on consumer-facing segments for growth and stability.",Company Filings
19-01-2024,Reliance Industries,"Reliance Industries reported moderate earnings growth with pressure on margins due to weaker refining margins and global demand slowdown. However, Jio and retail segments continued to deliver steady performance, supporting overall profitability. Digital services saw growth in ARPU and subscriber base, while retail maintained strong revenue growth. The company continued to invest heavily in renewable energy and digital infrastructure. Management highlighted challenges in global energy markets but remained optimistic about long-term growth in consumer businesses. Overall, the quarter reflected a balanced performance, with diversified business model helping offset cyclical pressures in core energy segment.",Reuters
22-04-2024,Reliance Industries,"Reliance Industries reported strong quarterly results with revenue growth supported by O2C recovery and continued strength in retail and digital segments. Jio recorded strong profit growth driven by subscriber additions and tariff improvements, while retail delivered improved margins through efficiency gains. However, overall profitability remained impacted by rising costs and global uncertainties. Management highlighted continued investments in renewable energy, including solar manufacturing and hydrogen ecosystem development. Overall, the quarter reflected resilience and diversification, with strong performance in consumer businesses offsetting volatility in energy segment. (Reuters)",Reuters
25-04-2025,Reliance Industries,"Reliance Industries reported strong quarterly earnings with growth driven by retail and digital segments, which offset weakness in the O2C business due to lower margins. Jio delivered strong EBITDA growth supported by tariff hikes and improved ARPU, while retail saw efficiency-led profit expansion. The company continued to invest in renewable energy infrastructure, including solar manufacturing capacity. However, energy segment performance remained volatile due to global macro conditions. Management emphasized long-term transformation toward green energy and digital ecosystem. Overall, the quarter reflected structural shift in earnings composition, with consumer businesses becoming primary growth drivers. (Reuters)",Reuters
18-07-2025,Reliance Industries,"Reliance Industries reported steady earnings growth with continued expansion in telecom and retail segments. Jio maintained strong subscriber growth and monetization, while retail continued to scale operations. The O2C segment showed mixed performance due to fluctuating global energy prices and margin pressures. The company maintained strong cash flows and continued investments in renewable energy and advanced technology initiatives. Management highlighted focus on long-term growth through diversification into new energy, AI, and digital platforms. Overall, the quarter reflected stable performance with evolving business mix, as Reliance continued its transition toward a multi-sector growth model.",Company Filings
15-01-2016,INFY,"INFY reported steady quarterly performance with moderate revenue growth supported by strong demand from global clients, particularly in BFSI and retail sectors. Net profit increased year-on-year, reflecting stable operating margins and efficient cost management. The company continued to focus on large deal wins, ensuring strong revenue visibility. However, management highlighted emerging challenges from global macroeconomic uncertainty and pricing pressure in traditional IT services. Digital services such as cloud, analytics, and automation started gaining traction, though still a smaller share of total revenue. Employee productivity remained stable, while attrition was under control. Overall, the quarter reflected a stable performance phase, with INFY maintaining consistent profitability while gradually transitioning toward digital services to adapt to evolving client requirements. (Reuters)",Reuters / Company Filings
15-07-2016,INFY,"INFY reported strong revenue growth driven by robust demand across key markets, with revenues rising significantly year-on-year. Operating margins remained stable, supported by cost control and efficient delivery models. Digital services continued to gain momentum, contributing increasingly to new deal wins. However, management noted early signs of pricing pressure in legacy outsourcing services due to automation trends. The company maintained a strong deal pipeline and continued to invest in technology capabilities to support digital transformation. Despite global uncertainty, INFY demonstrated resilience with steady earnings growth and stable profitability. Overall, the quarter reflected a balanced performance with gradual shift toward higher-value services while maintaining stability in core operations. (INFY)",Economic Times
13-01-2017,INFY,"INFY reported steady earnings with moderate growth as global IT spending remained cautious. Digital services emerged as a key growth driver, contributing significantly to revenue and deal wins. However, traditional services faced slower growth due to automation and changing client preferences. Operating margins remained stable, supported by cost optimization initiatives. Management emphasized strong pipeline of large deals and continued investment in digital capabilities. The company maintained strong cash flows and shareholder returns. Overall, the quarter reflected a transition phase, where INFY was gradually shifting from traditional outsourcing to digital-led growth while maintaining financial stability.",Business Standard
18-08-2017,INFY,"INFY reported quarterly performance overshadowed by major governance crisis as CEO Vishal Sikka resigned amid disputes with founders. While financial performance remained stable with steady revenue growth and margins, investor sentiment was impacted significantly. Digital services continued to grow, but uncertainty around leadership raised concerns about strategic direction. Management emphasized continuity of operations and commitment to long-term growth strategy. The company maintained strong deal pipeline and client engagement despite internal challenges. Overall, the quarter reflected operational stability but highlighted governance risks, marking a critical turning point in INFY’s growth trajectory.",Reuters
12-01-2018,INFY,"INFY reported stable earnings under new CEO Salil Parekh, with steady revenue growth and improved client engagement. Digital services continued to expand, contributing significantly to new business. Operating margins remained stable, supported by cost discipline. Management focused on simplifying operations and divesting non-core assets to improve efficiency. Deal pipeline strengthened, with increased large contract wins. Employee attrition remained under control, reflecting improving organizational stability. Overall, the quarter marked the beginning of recovery phase, with INFY stabilizing operations and regaining investor confidence after governance challenges. (INFY)",Company Filings
13-07-2018,INFY,"INFY reported improved quarterly performance with stronger revenue growth driven by digital services and large deal wins. Operating margins remained stable despite investments in talent and technology. The company continued to strengthen its position in cloud, analytics, and automation services. Management highlighted improved client engagement and stronger pipeline of transformation deals. Cost efficiency initiatives supported profitability. Overall, the quarter reflected a clear recovery trajectory, with INFY regaining growth momentum and executing its digital strategy effectively under new leadership.",Reuters
11-01-2019,INFY,"INFY delivered strong earnings with consistent revenue growth supported by large deal wins and increasing contribution from digital services. Operating margins remained stable, reflecting operational efficiency and cost control. The company benefited from strong demand across key sectors, particularly BFSI. Management emphasized continued focus on digital transformation and innovation. Deal pipeline remained robust, ensuring future growth visibility. Overall, the quarter reflected strong execution and stability, with INFY successfully transitioning into a digital-focused IT services company.",Economic Times
10-01-2020,INFY,"INFY reported strong quarterly performance with steady revenue growth and improving margins, driven by strong demand for digital services and large deal wins. The company maintained strong cash flows and operational efficiency. Digital services contributed a significant portion of revenues, reflecting successful strategy execution. Management highlighted continued focus on client engagement and innovation. Overall, the quarter reflected a mature growth phase, with INFY maintaining consistent performance and strengthening its position in global IT services market.",Business Standard
15-04-2020,INFY,"INFY reported resilient performance during the COVID-19 period, with stable revenue and margins despite global disruptions. The company quickly transitioned to remote working model, ensuring business continuity. Demand for digital services remained strong as clients accelerated technology adoption. However, management highlighted uncertainty in client spending and delayed decision-making. Cost control measures supported profitability. Overall, the quarter demonstrated operational resilience and adaptability, with INFY maintaining stability during unprecedented global challenges.",Reuters
15-07-2020,INFY,"INFY reported stable earnings with modest growth as digital demand continued to offset weakness in traditional services during the pandemic. The company saw strong traction in cloud and digital transformation projects. Operating margins remained stable due to cost optimization and improved utilization. Management maintained cautious outlook due to global uncertainty but highlighted strong deal pipeline. Overall, the quarter reflected resilience and adaptability, with INFY maintaining growth momentum despite challenging economic conditions.",Economic Times
14-04-2021,INFY,"INFY reported strong quarterly performance driven by robust demand for digital transformation services as global enterprises accelerated technology adoption post-COVID. Revenue growth was broad-based across geographies, particularly in financial services and retail sectors. Operating margins remained stable despite increased hiring and wage costs. Large deal wins remained strong, ensuring future revenue visibility. Digital services, including cloud, analytics, and automation, became the primary growth driver. Management highlighted strong client engagement and increased spending on transformation programs. However, early signs of rising attrition and talent shortages began to emerge. Overall, the quarter reflected peak demand conditions in the IT sector, with INFY benefiting from strong global technology spending and executing effectively on its digital strategy.",Company Filings / Reuters
13-01-2022,INFY,"INFY reported strong earnings growth with continued momentum in large deal wins and digital services expansion. Revenue growth remained strong, supported by cloud adoption and enterprise transformation projects. Operating margins were slightly impacted by rising employee costs and supply-side challenges, including high attrition levels. Management highlighted strong demand across key markets, particularly North America. The company continued aggressive hiring to meet client requirements. Digital services contributed a significant portion of revenues, reinforcing strategic shift from traditional outsourcing. Overall, the quarter reflected sustained growth momentum in a favorable demand environment, though cost pressures and talent constraints emerged as key challenges for maintaining margins.",Economic Times
13-04-2022,INFY,"INFY reported strong quarterly and annual performance with significant growth driven by digital transformation demand. Large deal bookings remained robust, ensuring revenue visibility. Operating margins faced slight pressure due to wage hikes and hiring costs. Management highlighted continued strong demand across sectors but noted early signs of macroeconomic uncertainty. The company maintained strong cash generation and shareholder returns. Digital services accounted for a large share of revenue, indicating successful strategic transformation. Overall, the quarter represented peak performance for INFY, supported by strong global IT spending, while management began preparing for potential demand moderation.",Company Filings
20-07-2023,INFY,"INFY reported moderate earnings growth with clear signs of slowdown in global IT demand, particularly in discretionary spending. Revenue growth declined compared to previous years as clients delayed decision-making amid macroeconomic uncertainty. Operating margins remained stable but faced pressure due to lower utilization and pricing challenges. The company continued to secure large deals, though deal conversion cycles lengthened. Management emphasized cost control and operational efficiency. BFSI segment remained relatively resilient, while retail and technology sectors weakened. Overall, the quarter marked a transition from high-growth phase to normalization, with INFY maintaining stability despite emerging headwinds.",Reuters
12-10-2023,INFY,"INFY reported steady earnings with continued deal wins but slower revenue growth due to cautious client spending. Digital services remained the core growth driver, though at a slower pace. Operating margins remained stable due to cost optimization measures. Management highlighted strong deal pipeline and long-term demand for digital transformation. However, discretionary spending remained weak across sectors. The company focused on improving productivity and managing costs. Overall, the quarter reflected resilience but highlighted ongoing slowdown in IT spending, requiring a more cautious growth approach.",Business Standard
18-04-2024,INFY,"INFY reported moderate performance with weaker-than-expected outlook due to slowdown in global IT spending. Revenue growth remained subdued as clients reduced discretionary spending and delayed projects. Operating margins faced pressure from pricing challenges and lower utilization. Management highlighted cautious outlook, reflecting uncertain macroeconomic conditions. However, large deal wins provided some visibility for future growth. Digital services continued to support revenues, though growth slowed. Overall, the quarter reflected challenging conditions for the IT sector, with INFY navigating slowdown while maintaining operational stability. (Reuters)",Reuters
18-07-2024,INFY,"INFY reported steady earnings with slight improvement in demand conditions and strong deal wins. Revenue growth remained moderate but exceeded expectations, leading the company to raise its annual growth guidance. Digital services and cloud transformation continued to drive business. Operating margins remained stable despite ongoing cost pressures. Management highlighted improving pipeline and stabilization in client spending. Overall, the quarter reflected early signs of recovery, with INFY benefiting from strong execution and improving demand outlook. (Reuters)",Reuters
16-01-2025,INFY,"INFY reported strong quarterly performance with improved revenue growth and upward revision of annual guidance. Growth was driven by strong performance in financial services and increased demand in the United States market. Large deal wins remained strong, supporting revenue visibility. Operating margins remained stable, supported by cost efficiency measures. Management highlighted improving demand environment and strong client engagement. Overall, the quarter reflected recovery in IT spending, with INFY regaining growth momentum after a period of slowdown. (Reuters)",Reuters
23-07-2025,INFY,"INFY reported steady earnings with revenue growth of around 7–8% year-on-year, supported by large deal wins and strong digital demand. Net profit increased, reflecting operational efficiency and strong execution. However, management maintained cautious outlook due to global uncertainties. Digital and AI-led services emerged as key growth drivers. The company continued to generate strong cash flows and maintain a strong balance sheet. Overall, the quarter reflected stable performance with gradual recovery in demand, though macroeconomic risks remained. (Reuters)",Reuters
16-10-2025,INFY,"INFY reported strong quarterly performance with revenue growth of around 8.5% and profit growth exceeding expectations. However, the company narrowed its annual revenue guidance due to ongoing macroeconomic uncertainty and cautious client spending. Large deal bookings remained strong, though slightly lower sequentially. Operating margins remained stable. Management highlighted continued focus on cost efficiency and large deal execution. Overall, the quarter reflected stable execution with cautious outlook, balancing strong operational performance with uncertain global demand conditions. (Reuters)",Reuters
